anchor,response
You can't diagnose that without a biopsy.,"Yes, we can, we treat it. If she gets better we know that we're right."
And if we're wrong?,We learn something else.
Parrots are the primary source of psitticosis.,It's not the parrot.
Psitticosis can lead to nerve pRoblems and neurological complications.,How Many kids were there in the class?
How Many kids were there in the class? 20,How Many are home sick?
"How Many are home sick? None, but!","None, but you think that 5 year olds are more serious about bird hygiene than their teacher. You've been through her home?"
She lives in Trenton. I can go up to her room tomorrow morning and ask her for the key.,Would the police call for permission before dropping by to check out a crime scene?
It's not a crime scene.,Far as I know she's running a Meth Lab out of her basement.
She's a kindergarten teacher!,And if I was a Kindergarten student I would trust her implicitly.
"Whoa, oh, I can't just break into someone's House.",Isn't that how you got into the Felker's home?
I should thank him?,"Well, I needed somebody around here with street smarts. Ok? Knows when you're being conned, knows how to con."
I should sue you!,I'm pretty sure you can't sue somebody for wrongful hiring.
But I'm pretty sure I can sue if you fire me for not breaking into some lady's House.,I'm doing research. People are fascinating aren't they?
Why are you giving Adler steroids?,"Well, she's my Patient that's what you do with Patients. You give them medicine."
You don't prescribe medicine based on guesses. At least we don't since Tuskeegee and Mengele.,You're comparing me to a Nazi? Nice.
I'm stopping the treatment.,She's my Patient.
It's my hospital.,"I did not get her sick, she is not an experiment, I have a legitimate theory about what's wrong with her."
With no proof.,There's nEver any proof. 5 different doctors come up with 5 different diagnoses based on the same evidence.
You don't have any evidence. And nobody knows anything huh? Then how is it that you always assume you're right?,"I don't, I just find it hard to operate on the opposite assumption. And why are you so afraid of making a mistake?"
Because I'm a doctor. Because when we make mistakes people die.,Come on.
Because when we make mistakes people die. Come on.,People used to have more respect for cripples you know! Turns to a guy in a wheelchair They didn't really.
Thank him for me. Right.,"Should I discontinue the treatment, boss?"
You got lucky.,"Cool, huh?"
"Given the latest symptoms it's clearly growing deeper into the brain stem. Soon she won't be able to walk, she'll go blind perManently, and then the respiratory center will fail.",How long do we have?
"If it's a tumor we're talking a month, maybe two, if it's infectious a few weeks, if it's vascular that'll pRobably be fastest of all, maybe a week.",We're gonna stop all treatment.
"Well, maybe we didn't see the effects until we started steroids.","No, it's not a tumor. The steroids did something, I just don't know what."
So we're just gonna do nothing? We're just gonna watch her die?,"Yeah, we're gonna watch her die."
"There's go to be something we can do, something better than watParkng her die.","Well, I got nothing. How 'bout you?"
I'm tired a lot.,Any other reason you think you may have Chronic Fatigue Syndrome?
It's kinda the definition isn't it?,It's kinda the definition of getting older.
"I had a couple headaches last month, mild fEver, sometimes I can't sleep, and I have trouble concentrating.",Apparently not while researParkng this stuff on the internet.
I was thinking it also might be fibromyalgia.,"Looks contemplative, and then serious Excellent diagnosis sarcastic!"
Is there anything for that?,"heavy sigh Ya know, I think there just might be."
"heavy sigh Ya know, I think there just might be.","I need 36 Vicodin, and change for a dollar."
"jumbled, I can't tell",Exam room 2. Places the bottle back on the counter.
Did you stab a guy in a bar fight? Nothing.,It's not a tumor she's getting worse too fast. She can't stand up.
Not that I could tell from her underwear drawer.,You said nothing that would explain these symptoms. What did you find that doesn't explain these symptoms?
"Yes, yes, her name is Rebecca. I call her Rachel.",You idiot!
You idiot! Hey!listen!,"Not you, him! You said you didn't find anything."
Everything I found was in interrupted,You found ham.
You found ham. So?,"Where there's ham there's pork, where there's pork there's neurocysticercosis."
Tapeworm?! You think she's got a worm in her brain?,"It fits. Could have been living there for years, it nEver occurred to me interrupted"
Millions of people eat ham Every day. It's quite a leap to think that she's got a tapeworm.,"OK, Mr. Neurologist. What happens when you give steroids to a person who has a tapeworm?"
Just like Rebecca Adler did.,In a typical case if you don't cook pork well enough you ingest live tapeworm larvae.
"Reproduce? There's only got one lesion, and it's nowhere near her bowel.","That's because this is not a typical case. Tapeworm can produce 20 to 30,000 eggs a day. Guess where they go."
Guess where they go. Out.,"Not all of them. Unlike the larvae, the egg can pass right through the walls of the intestines and into the blood stream. And where does the blood stream go?"
And where does the blood stream go? Everywhere.,As long as it's healthy the immune system doesn't Even know it's there.
"As long as it's healthy, so what do we do? Call a vet and nurse the little guy back to health?",It's too late for that.
It's only abnormal in 30% of cases. Proving nothing.,"No, no, no, no, you see, it fits, it's perfect! It explains Everything."
But it proves nothing.,I can prove it by treating it.
"No, you can't. I was just with her, she doesn't want any more treatments, she doesn't want any more experiments, she wants to go home and die.","To nurse Will you excuse us, please?"
"To nurse Will you excuse us, please?",I'm Dr. House.
It's good to meet you.,"You're being an idiot. Ahem. Pause You have a tapeworm in your brain, it's not pleasant, but if we don't do anything you'll be dead by the weekend."
Have you actually seen the worm?,When you're all better I'll show you my diplomas.
You were sure I had vasculitus too. Now I can't walk and I'm wearing a,"I'm not talking about a treatment I'm talking about a cure. But because I might be wrong, you want to die."
What made you a cripple?,I had an infarction.
A heart attack?,It's what happens when the blood flow is obstructed.
Wasn't there something they could do?,"There was plenty they could do, if they made the right diagnosis, but the only symptom was pain. Not may people get to experience muscle death."
Did you think you were dying?,I hoped I was dying.
"So you hide in your office, refuse to see Patients because you don't like the way people look at you. You feel cheated by life so now you're gonna get Even with the world. You want me to fight this. Why? What makes you think I'm so much better than you?","When you're scared, you'll turn into me."
I just want to die with a little dignity.,There's no such thing!
"There's no such thing! Our bodies break down, sometimes when we're 90, sometimes before we're Even born, but it always happens and there's nEver any dignity in it. I don't care if you can walk, see, wipe your own ass. It's always ugly, always. Pause You can live with dignity, we can't die with it.",No treatment.
"Maybe we can get a court order, override her wishes. Claim she doesn't have the capacity to make this decision.",But she does.
Pretty common result.,That didn't happen here.
"So because you respect her, you're going to let her die?","I solved the case, my work is done."
"I solved the case, my work is done.","Patients always want proof, we're not making cars here, we don't give guarantees."
"I think we can prove it's a worm. It's noninvasive, it's safe. I'm not completely sure but!interrupted","Yeah, yeah, yeah what's the damn idea?"
"Which is the same thing as a CT scan, which we did, which proved nothing.","Worm cysts is the same density as the cerebrospinal fluid, we're not going to see anything in her head, but Chase is right, he's right, we should x-ray her, but we don't x-ray her brain, we x-ray her leg, worms love thigh muscle."
Why did you hire me?,Does it matter?
Kinda hard to work for a guy who doesn't respect you.,Why?
Is that rhetorical?,"No, it just seems that way because you can't think of an answer."
You hired a black guy because he had a juvenile record.,"No, it wasn't a racial thing, I didn't see a black guy."
You hired me to get into my pants?!,I can't beliEve that that would shock you.
I was in the top of my class.,But not THE top.
I did an internship at the Mayo Clinic.,"Yes, you were a very good applicant."
But not the best?,"Would that upset you, really, to think that you were hired because of some genetic gift of beauty not some genetic gift of intelligence?"
I worked very hard to get where I am.,But you didn't have to.
Am I supposed to be flattered?,Gorgeous women do not go to medical school. Unless they're as damaged as they are beautiful. Were you abused by a family member?
Were you abused by a family member? No!,Sexually assaulted?
Sexually assaulted? No.,"But you are damaged, aren't you?"
Hold on. She's converted.,You said she was your cousin. Why would you lie?
It got you to take the case.,"You lied to a friend to save a stranger, you don't think that's screwed up?"
You've nEver lied to me?,I NEveR lie.
He says he needs a refill.,Got change for a dollar?
"Dan, Dan, get a doctor! Hey!",Close the door. Close the door!
Is Cuddy down the hall counting to 50?,"She's knows I'm in here, the clinic, as she comManded she just doesn't know I'm alone."
"Well, you've got a full waiting room, how long do you think you can ignore them?",I'm off at 400.
You're doing this to avoid 5 minutes of work?,"I go out there, I get assigned a kid with a runny nose."
"Yes, concerned parents can be so annoying. Just tell Cuddy you've got an urgent case, you had to leave early.",That would be lying.
"And that would be wrong. But luckily, the definition of urgent is fungible.",Not the definition of case though.
"You have no cases. You have NO cases. You've got handpicked doctors, specialists, working for you, and they're sitting on their hands?",Cameron is answering my mail.
Time well spent I'm sure. Foreman and Chase?,Research?
Huh Fills in the space,"So, 403 PM. Dr. House checks out. Please write that down."
Dr. House. from now on he'll just be called Dad,"Sorry, done for the day. There's plenty of docs here to take care of you."
But we had an appointment.,"Hah, nice try, but this is a walk-in clinic, which means there are no appointments."
But your letter says that we would see you.,Not a big letter writer.
Not a big letter writer. Here.,When did my signature get so girly?
I can explain.,"See that G, see how it makes a big loop on top?"
"It's impossible to get to you through normal channels, they have called!interrupted",PersEverance does not equal worthiness. Next time you want to get my attention wear something fun. Low-rider jeans are hot.
"16 year old male, sudden onset of double vision and night terrors, with no apparent cause. The kid's been to 2 neurologists!interrupted","Night terrors, yeah? As in big scary monsters?"
Where are you going?,To see the family.
You're going to examine a Patient?,"9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family."
"9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family. Good work.","Margins look fine. No lesions, color is good. How long have you been having night terrors?"
What does that tell you?,"Nothing, it's just fun watParkng him blink. To Dan Name as Many animals as you can that begin with the letter B go."
To Dan Name as Many animals as you can that begin with the letter B go. Baby elephant.,Baby elephant is actually a good answer B is a bear of a letter.
What does that tell you?,"Proves two things, no neurological damage, and your son is nEver going to be Parkef fry cook."
"In teens there are two likely causes of night terrors post traumatic stress, any recent shootouts at your high school? No.","Well, then, Dave!"
"Well, then, Dave! Dan",!if there's no trauma the other cause is sexual abuse.
We would nEver do anything to hurt Dan.,"I say it here, it comes out there. This lack of response is consistent with abuse."
"There's no one, ok? I swear. There was trauma I got hit in the head during a lacrosse game.",To Cameron Did you know that he got hit in the head?
"They didn't mention it, no.","Yeah, why bother."
"No, no, we took him to the ER after the game. He was scanned, they tested him, they said he was fine. No concussion, it's gotta be something else.","You hound me for my opinion and then question my diagnosis. Cool. ER obviously screwed up, kid's got a concussion."
I had double vision before I got hit.,"Well, that changes Everything, you need glasses."
"You enjoyed that. I brought a reasonable case to your attention, and you shoved it in my face just to humiliate me.","You're an only Parkld, aren't you?"
Why would you say that?,Everything is about you.
I'm not an only Parkld.,attention on Dan Interesting.
attention on Dan Interesting. What?,Don't move. Did I bore you in there?
"What? Ah, no, not, not really.",Are you tired?
He nEver sleeps! Of course he's tired.,"Right now, at this moment, are you tired?"
"Right now, at this moment, are you tired? No, no.",That twitch in your leg. Did you feel that?
His leg twitched. I don't see what!interrupted,"It's called a myoclonic jerk, it's very common when you're falling asleep."
"Respiration rate falls, and the brain interprets this as the body dying, so it sends a pulse to wake it up. So?","So, he's not asleep, he's awake. Turns to Cameron Admit him."
"So, he's not asleep, he's awake. Turns to Cameron Admit him.","I recognize that loopy G. So, what does the jerk tell us?"
"Nothing good, the brain's losing control of the body. Can't order the eyes to focus, regulate sleep patterns or control muscle movements.","A movement disorder, or degenerative brain disease. Either way this kid's gonna be picking up his diploma in diapers and a wheelchair."
"Maybe not that bad, could be an infection.","You wish. No fEver, no white count. Anyone think this differential diagnosis might be compromised because we don't have an accurate family history?"
I took an accurate family history.,You didn't Even take an accurate family. His father's not his father.
Why would you say that?,30% of all dads out there don't realize they're raising someone else's kid.
From what I've read false paternity is more like 10%.,That's what our moms would like us to beliEve.
"Who cares? If he got it from his parents they'd both be dead by now, can we get on with the differential diagnosis?",Fifty bucks says I'm right.
I'll take your money.,"Hit a nerve? Don't worry, Foreman. I'm sure the guy who tucked you in at night was your daddy."
"It doesn't necessarily have to be that bad. If we exclude the night terrors it could be something systemic his liver, kidneys, something outside the brain.","Yes, feel free to exclude any symptom if it makes your job easier."
That's a night terror. Parents said?,That's a good point.
I usually don't move during night terrors.,I'm not restraining you for them. EEG rEvealed abnormalities in your brain caused by nerve damage in your toes.
Whimpering What are you doing?,Fixing it.
Still whimpering Can I talk to my parents?,"Oh, they know all about this."
I'd really like to see them. Whimpering after pause Please! I'd really like them here.,"This is gonna hurt, Dan."
"We did a CT, MRI, CBC, Chem-7 and chest x-ray. All the tests came back normal. There's nothing to explain his symptoms.","Ok, but let's pretend there's something and go from there. Who sees something on this MRI?"
No space-occupying tumors.,"He's 16, so he should have an absolutely pristine brain. The smallest thing is abnormal."
Meningeal enhancement. My bet is viral meningitis.,"Excellent, you see what he did there? He took a small clue that there's a neurological pRoblem and wasn't afraid to run with it."
There's no evidence of meningitis on that MRI.,"No, there's not, he's completely wrong."
Then what clue are you talking about?,"He knew that I saw something on the MRI so he figured there must be something there and took a guess. ClEver, but also pathetic."
"So, what did you find?",Take a close look at the corpus callosum.
It looks ok.,"Are we all looking at the same thing? 200 million interhemispheric nerve fibers, the George Washington Bridge between the left and right side of the brain. It's subtle."
"There's some bowing, there. An upward arch.",Are you guessing?
Are you guessing? Yes.,"Too bad, you're right."
"He pRobably just moved, nobody stays perfectly still for their entire MRI.","Yeah, he pRobably got restless and shifted one hemisphere of his brain to a more comfortable position. Something is pushing on it."
If there's bowing it could be a tumor.,Do you see a tumor on this MRI?
"No, but I don't see any bowing, either.","There's no tumor, just a blockage causing pressure, causing symptoms. Today"
"No more pressure, Everything goes back to normal.",He's lucky to have you as his doctors.
"No formula, just mommy's healthy natural breast milk.",Yummy.
Her whole face just got swollen like this overnight.,"Mmhmm. No fEver, glands normal, missing her vaccination dates."
"Takes a toy frog and starts to make frog sounds Gribbit, gribbit, gribbit. Giggles",Think they don't work?
I think some multinational pharmaceutical company wants me to think they work. Pad their bottom line.,Mmmm. May I? He takes the frog and starts to do the gribbit noise with the baby
He takes the frog and starts to do the gribbit noise with the baby Whispered Sure.,"Gribbit, gribbit, gribbit."
"Gribbit, gribbit, gribbit. The baby laughs All natural, no dyes. That's a good business all-natural Parkldren's toys. Those toy companies, they don't arbitrarily mark up their frogs. They don't lie about how much they spend on research and dEvelopment. The worst a toy company can be accused of is making a really boring frog.","Gribbit, gribbit, gribbit."
Tell me what she has.,A cold.
There's a pRoblem.,Complications in surgery?
"Surgery went fine, he's in recovery, but we took a vial of CSF and tested it.",Really?
"Oligoclonal bands, and an increase of intrathecal IGG.",Which means multiple sclerosis. And the reason it takes three of you to tell me this?
McDonald criteria requires six months to make a definitive diagnosis.,"Oh, who cares about McPherson? I hear he tortured kittens."
I hear he tortured kittens. McDonald.,"Oh, McDonald. Wonderful doctor, loved kittens."
Without the lesions we can't be sure.,"Well if it is, it's gone from 0 to 60 in three weeks, which would indiCate rapidly progressive MS."
We should wait until we interrupted,"Start treating him now, he can walk for another couple of years, maybe live for another 5. Break it to the family. I'm going home."
I'm not here. Leave a message.,"Dr. Cuddy, great outfit."
What are you doing back here? Patient?,"No, hooker. Went to my office instead of my home."
"Dr. House, Dan's missing.","Yeah, I got that part from the message. You said I was needed immediately."
He shouldn't move after a lumbar puncture.,"I agree, he's gonna have a very nasty headache. That would also be my opinion if consulted tomorrow morning."
We wanted to keep you informed. He heard some pretty heavy news.,Sighs This is not a toddler wandering around a department store. He's 16. You'll find him. I'm going home.
"So, when you say Call me if you need anything, You mean, Don't call me.","No, I mean Call me if I can do something. I'm bad at search parties and I'm bad at sitting around looking nervous doing nothing."
What about his parents? Should we call them?,Why? You think they're hiding him? Make sure someone checks the roof some of the orderlies keep the door propped open so they can grab a smoke.
Dan! Dan! No!,Dr. Foreman. I assume you found the kid.
He almost walked off the roof.,Suicidal?
"No, he thought he was on his lacrosse field. Look, look, I was just gonna run home, shower, change!interrupted",Conscious?
Conscious? Yeah.,How'd you talk him down?
"Actually, Chase tackled him.",How come you didn't do it?
"Right, well, I am black, but he was closer.","Come on, you can ride up with me."
"Come on, you can ride up with me.",Anybody tell the family that their boy almost stepped off a roof? They must be thrilled.
"They're not suing, but I think only because Chase asked them.",Why does Everyone always think I'm being sarcastic?
Why doesn't he have MS?,"He was on the roof thinking he was on the lacrosse field, conscious, and therefore not a night terror. You want some of this? Asking Foreman about the coffee"
"Asking Foreman about the coffee Yeah, sure.","He was in an acute confusional state, which doesn't fit with a demyelinating disease like MS."
That the immune system is working.,"Right, he has an infection in his brain."
What about sex?,"Well, it might get compliCated. We work together. I am older, certainly, but maybe you like that."
I meant maybe he has neurosyphilis.,"Heh, nice cover."
"Sorry, RPR was negative.",We don't need a definitive test to confirm this.
"Sure, didn't need one to confirm MS.","Ok, let's wait for you to run titers on 4000 viruses while this kid's brain turns to mush."
"So the fact that he doesn't have MS is, it's really not good news after all?","Well, it is if it's neurosyphilis, the likelihood of a false negative on an RPR test, 30%, the likelihood of a 16 year old having sex, roughly 120%."
I'll start him on IV penicillin.,We're not going to wait for that. The most effective way to deliver the drug is right into his brain via the spine.
"We can't. In a cramped space like the brain, increased intracranial pressure from a high-volume drug like penicillin could herniate his brain stem and kill him. No neurologist in his right mind would recommend that.",Show of hands. Who thinks I'm not in my right mind?
Show of hands. Who thinks I'm not in my right mind?,And who thinks I forget this fairly basic neurological fact?
And who thinks I forget this fairly basic neurological fact?,Who thinks there's a third option?
Who thinks there's a third option?,"Very good, what's the third choice?"
"Sighs The Patient has a shunt in his brain. There'll be no increased pressure, we can put as much penicillin into his body as we want.","Excellent, inject him through a lumbar puncture."
"Sighs again, and then grunts in pain","Geesh. It's infected, with a really big hole like you stuck a nail in it to reliEve the pressure."
I wouldn't do that.,"Although the wound is irregular, not cylindrical, it's shaped like a triangle, so not a nail. Steak knife?"
Wife's nail file.,"Whispered Nail File. Yeah, pain'll make you do stupid things. Something to take the edge off? Takes out his pills and puts one in his hand"
Takes out his pills and puts one in his hand Yeah.,Cheers. Dry swallows the pill and Funsten eats his ewwwww Limps back
Dry swallows the pill and Funsten eats his ewwwww Limps back No.,Here on work?
"No, why are you interrupted",Does your penis hurt?
No. What? Should it?,"No, just thought I'd toss you a really inappropriate question. Your Lawyer's gonna love it."
Why would I want to sue you? I want you to treat me.,"You're from Maplewood, New Jersey. Right?"
Right? Yeah.,"Now, why would you drive 70 miles to get treatment for a condition that a 9 year old could diagnose? It's the free-flowing pus that's the tip-off."
I was in town.,"Not for family, not for work."
"Ok, you know what? Thank you, I'm gonna find a doctor to take care of this.","I didn't say I wouldn't treat you. We'll drain your knee, run some lab work, fix you right up."
Why would you do that?,I'm a people person.
You actually treated him?,"All I know is that he sued some doctors, who am I to assume that they didn't have it coming to them."
How's your hooker doing?,"Oh, sweet of you to ask, funny story, she was going to be a hospital administrator, but hated having to screw people like that."
I heard you found her on the roof.,You have very acute hearing.
You notify the parents?,"In due course, of course."
And is there a paternity bet on the father of the Patient?,Doesn't sound like me.
"Well, it does actually, but that doesn't mean you're guilty.",You think?
"I saw the parents in the lobby, smart money is obviously on the father.",Stage whisper My guy knows a guy who can get you in for $50 bucks.
"Fine. You tell your guy if I win, you attend the faculty symposium and you wear a tie.","And if I win, no clinic hours for a week."
Penicillin's not working.,"So, either it's a bad batch of penicillin, or our diagnosis is wrong. Square one. Mignight."
"LFTs, BUN, and creatinine, are all normal, diabetes is out. No gap.",There goes metabolic. Crosses off M
MRI rules out vasculitis.,I for inflammation. Crosses out the I
Too young for anything degenerative.,"D, see ya. Crosses out the D N for neoplastic?"
MRI was clean.,I for inflammation.
We already did that.,Stupid to have two I's in one mneumonic. What's the other one?
CT scan rules out subdural.,"Trauma, later much."
"Trauma, later much. Looks at the board which is now all crossed out. You know the pRoblem? Midnight is actually spelled with a G and an H, If we could just figure out what those two letters stand for. Sighs and walks away for the board. His back is now facing the ducklings It's a sick brain, having fun, torturing him, talking to him. pause Scaring the hell out of him. Get him an EEG, left and right EOG esophageal microphones. If this thing wants to talk, let's listen.",We're missing something. This is screwed up.
That's why you came up with the brain talking to the virus thing?,"I panicked, ok? Sounded cool though, they bought it."
"I panicked, ok? Sounded cool though, they bought it.","Oh, crap. Another reason I don't like meeting Patients. If they don't know what you look like they can't yell at you. Aside to Wilson Here we go."
How can you just sit there?,"If I eat standing up, I spill."
"Our son is dying, and you could care less? We're going through hell you're doing nothing?","I'm sorry, you need to vent, I understand."
Don't be condescending. You haven't checked in on him once.,"Blood pressure's 110/70, the shunt is patent well placed in the right lateral ventricle, the EKG shows a normal QRS with deep wave inversions throughout both limb and pericardial leads."
"Blood pressure's 110/70, the shunt is patent well placed in the right lateral ventricle, the EKG shows a normal QRS with deep wave inversions throughout both limb and pericardial leads. LFTs are elevated but only twice the normal range. Oh yeah, and he's hearing voices. Pause Go hold his hand. Go on I'll bus your tray.",Got any sample bags on you?
I don't beliEve you. You're gonna run DNA tests?,"Their son is deathly ill, I know it's terrible, but the fact is if I don't keep busy with trivial things like this I'm afraid I might start to cry."
You're an ass.,Yeah? You want to double the bet?
Yeah? You want to double the bet?,General Hospital is on channel 6.
"Dan's brain's not showing channel 6 right now, only mush.",No epileptiform activity. Turns to Cameron What are you doing?
Waiting for CBC and Chem-7.,"Good, run DNA on these. He puts down two cups that are labeled Mommy and Daddy???"
He puts down two cups that are labeled Mommy and Daddy??? What's this?,Parents' coffee cups.
I can't beliEve you interrupted,"I've had this conversation once already. If you've got something else to do, do it. Otherwise, do this."
"Otherwise, do this. Dr. House?","Hey, Mr. Funsten! I was wondering when you'd be back. Got some papers for me?"
You've caused me considerable mental distress.,"I certainly hope so. Funsten hands him an envelope What? Too cheap to have your Lawyer serve it for you, or is it more fun this way?"
I'm obviously prepared to consider a settlement.,You have gonorrhea.
"No, I don't!","Well, maybe you're right, but I have a lab result that says you do."
You're just trying to scare me.,"It's reportable you know, public health issue."
I'll be sure to let my wife know.,"Oh, don't bother yourself, the state will call for you."
"Oh, don't bother yourself, the state will call for you. Look, if you're clean I'm sure this will all blow over, no big deal. There's an easy way to find out, get one of your doctors to run a test.",Uh-uh. These are mine now. I'll see you in court. House enters the elevator.
We need an answer.,You idiots! You lied to me!
"You, on the other hand, accused us of molesting our son. Perfect.",Can we get off my screw-ups and focus on theirs? Theirs is bigger. You're not Dan's parents.
He was adopted. He doesn't need to know.,I do.
Adoption makes him just as much his interrupted,"Listen, when we were taking his medical history, were you confused?"
How did you find out about this?,I sampled their DNA.
We didn't give you any DNA.,Your coffee cups from the cafeteria.
You can't do that!,"Again, why are we getting hung up on what I did? Turns to Dan's parents Your medical history is useless."
"Sounds reasonable. Well, if you want to transfer your boy that is your choice, but I still think it's the wrong interrupted","Was she vaccinated? Pause The biological mother, when she was a baby, did she get her vaccinations?"
Dan was vaccinated at 6 months.,"Mm hmm, and do you know why kids get vaccinated at 6 months? Because before that, they are protected by their biological mother's immune system. So, was she vaccinated?"
"Mm hmm, and do you know why kids get vaccinated at 6 months? Because before that, they are protected by their biological mother's immune system. So, was she vaccinated?",An infant picks up a regular old measles virus.
Sub-acute Sclerosing Pan-encephalitis.,I know. There's only been 20 cases in the United States in the past 30 years.
I suppose you could make an argument that the kid's still in stage one. Once SSPE moves to stage two Interrupted,"Boom, stage two is universally fatal."
I assume it's impossible to tell when he might move into stage two.,"He's already started showing symptoms. It could be a month, it could be tonight."
Can we treat it?,Ask the neurologist.
We're not gonna shove a spike into his brain and drip interferon without confirming this diagnosis.,Tap him.
"We won't get a reliable result for measles antibodies in his CSF, not after Everything we've given him.",So the wrong treatment kills any hope of the right diagnosis.
