anchor,response
What's the real reason you won't hire a team?,"I told you, I don't need a team."
"No, it's like... vindaloo curry.","Ok, sure..."
Think he'll make us break into the IMAX before he admits it?,There.
"27 year old female intense, intermittent ear pains, saw six doctors!",Tell her to stop lurking in the front row. If she wants to hit on musicians that's what tour buses are for. Next.
Better chance it'll kill him.,Tell the lab to release a hep A culture to me. We'll see who's right.
"The shedder, whoEver he is, is so virulent, Cuddy must have noticed him. Hmmm.",And the babies didn't share any common personnel. That's what's weird.
Cameron actually said yes?,"Nope, I'm just obsessive about clean cuticles."
"So would the carbon monoxide he sucked out of his car. It's not a toxic reaction. It's a psychosomatic reaction. The pain profile showed an excessive concern about his physical health, difficulty sleeping, getting out of bed.",He's not in pain because he's depressed. He's depressed because he's in pain.
I don't give a damn.,How's our Mental Yentl?
I'm not betting on a Patient's--,A hundred bucks? If you say so. He walks into a room and Chase and Foreman exchange a look before walking off together
This case is a fiasco. Didn't sleep last night. pause Dr. House is obviously brilliant!,"Well, I think we've heard enough."
So let's find out. Hook the baby up to someone else's blood and see if she gets better.,Find a donor.
It was just a glimmer. I couldn't put it into words.,It was a long shot. I don't Even remember the c-reactive protein lEvel.
You're wrong. I actually like her. I'm going to see her again.,Mazel tov. Great relationships often start with snap decisions aimed at proving me wrong.
Fine. Your dad can err... have her heart. He walks out,"FEver, stomach pain, raised liver enzymes."
Pharmaceutical companies do that Every day.,"Are we a pharmaceutical company? We're gonna wind up pressuring desperate Patients into choices that are bad for them, good for us. You're gonna compromise Patient care."
You'll do it?,For you.
This is a big decision.,We made it.
McDonald criteria requires six months to make a definitive diagnosis.,"Oh, who cares about McPherson? I hear he tortured kittens."
You're thinking this is hormonal?,I'm thinking she's the ultimate Woman.
Is that cut on your cheek Even real?,"See, this is exactly what our nemesis wants divide and conquer. Can't you see that?"
"Wait, why would you think his wife poisoned him?","Because dangerous people don't break into your home, they live in it."
We need to talk.,This about the case you didn't want me to know about?
You have any fEver?,"Not yet. But when it does come, I assume you'll see the pettiness of being mad at me for lying."
You're thinking trauma?,"lifting his head up, clutParkng his shoulder I'm thinking drugs. gets up He's an admitted user. Drugs crashed his immune system."
This isn't the time for...,Casting out the demons?
What other school would he be talking about? Just finish the story.,"You know, I got to tell you there is bossy, which can be sexy. And then there's bitchy"
"He just woke up. Dad, you don't have to deal with this right now. House stops her.","Ah, mm, yeah, actually!"
"Wow. If only he were here to say that. I'm sure Cuddy would be bound to fall for the old, Hey, the dead guy won't mind if we're wasting",Need an incurable roMantic to talk to an incurable roMantic.
And! He puts down some more cards. House enters the room and looks at them.,You two made up?
Being afraid to beliEve it doesn't make it false.,"Well, that's very moving. It's a shame I don't vote."
Of course! The riddles.,Hi mom!
This was a cooking accident?,First time making cherries jubilee.
"How old is this person? I mean, it's not really a 40-year-old Man on a girls volleyball team, right?",It's a leg. A leg is a leg is a leg.
"almost inaudible, pleading tearfully It can change. May-maybe he'll-he'll rally. Hey, my Nick is a fighter.",Graft vs. Host is not gonna go away because of Nick's sunny smile and positive outlook.
Sister Augustine's been extubated.,Good.
"Cupid's disease, that what we used to call it.",When did you get it?
NEver mind Bride of the Monster. You need to watch Norma Rae.,"Before we get started, I just want to thank you all for agreeing to reloCate."
looking over his shoulder at House She's having me sleep on the couch. Just for a few nights. I'm not doing this to save my job. I'm doing this to save his life.,looking back at Taub Right. That's what we'll tell Everyone.
Maybe he just gave them something to live for.,Feel better. He leaves.
Didn't come up on the CT scan.,It's hitting all her organs. Could be the blood. What's her alk phos?
"If you hadn't treated this Patient as a game, he wouldn't be dead.","Feeling much better, thank you."
"deadpan It hurts really, really bad.",Yeah?
Stop scratParkng. You'll draw blood.,"Finally you said something useful. If I actually break the skin, it'll let the poison out."
browsing the bookshelves Alice Tanner. Why does that name sound familiar?,I gave you a couple of her books a few years ago.
"You've got two choices, House. You can recognize that your Patient is just a very nice, healthy guy, and send him home, or you can consider altruism a symptom. In which case, you cannot take his money. Walks out",To Park Send him home. And check with admitting for the net worth of all new Patients.
My name's in the file.,The fact that you won't answer my questions tells me more about you than answers could.
Head CT is clean.,How can we turn Wilson from a terminal idiot into an interminable pain in the ass?
The Woman you love doesn't exist. This Woman is dying. She has Acute Respiratory Distress Syndrome and Crush Syndrome. Her body's basically giving up. We can keep her on supportive dialysis and hope for the best.,NEver mind. She has a lump on her arm.
"For 2 minutes maybe, until the next case comes along, until you're jonesing for your next fix. This Woman talks while in full cardiac arrest and you're more excited about the talking than the heart dying.",The two were connected.
Who are you?,I'm the doctor who's trying to save your son. You're the mom who's letting him die. Clarification. It's a beautiful thing.
Does this have anything to do with,Where'd she sleep?
...And what else?,"Nothing else. He retreats into the exam room, and Taub gapes at the door."
Time of death...,S ROOM
Why would he lie about that?,"He wouldn't, if he beliEved her story about the sweet little girl trying to do the right thing."
Not about trivialities.,"Well, then, this must not be trivial. How is Cameron handling Everything? They're at the doors of the clinic."
I thought your position was our leaving is a ruse.,"We're not talking about my position, we're talking about yours, which doesn't add up."
still standing How's the chelation going?,REverend Moon started it about 20 minutes ago. You missed lunch tracking down the plasma donors. Got you a Reuben from the cafeteria.
I went to undergrad with one of the directors. Thanks.,How Many shirts do I need?
This boy is going to die. You selfish enough to let it happen?,Pot calling a kettle a pot?
"She screwed up a room number six years ago, and you decide she has brain damage?",Transposed digits. Classic marker for number confusion. Means she has a lesion in her left parahippocampal region.
"Bradycardia. His heart rate's dropped to 30, it's not going to hold that much longer.","Are you just waiting to call time of death, or are you gonna give him atropine?"
"Complaint department's across the hall House walks over to him I'm busy, can I just assume that you told me how unfair I'm being and...",cuts him off I'm sorry...
We need you to show us remorse.,Is that how our system works? Release the best actors? I shudder to think what that world would be like.
"We've got to get you into surgery. Where is that nurse? Rachel, let's go find the nurse.",200 a.m. Nice of you to call me back.
"Dr. House, you should get back to your office",Jules. There's no Jules in the history.
He's ready to go home. What?,"What do you think it means? You can't live without a liver, he's dying!"
So you really did force his roommate to hack into the laptop?,Why would I lie?
Rachel's gonna be up soon.,"Well, you nEver know."
We'll do a colonoscopy.,Who's keeping her awake now?
Then say so. Don't be a Parkld. Gets up to go.,Is it on his penis? Cameron stops and looks at him. Kid's rash?
The mind can heal the body. Seeing his wife in distress might have actually slowed down his death.,Or he could have just had an adrenaline surge when he saw his chance to hit the singles market. Send her home.
What's going on?,Imaging shows enhancing masses across multiple lobes of Cuddy's lungs.
"Normally, you'd be up in the Patient room hectoring her on what to do. Instead you're up to your elbows in some irrelevant dead guy who may or may not be connected to a magic cat because you want to prove to me that you don't care.",Case is over. I'm exploring a scientific mystery.
Turn around. Why?,Because you need to relax.
"If the pRoblem is the pressure in her brain, and I fix it, is she going to be all better?","Nope, but it'll give us more time to figure out what's wrong."
I'm not on any medications.,You vegetarian?
She has muscle weakness. Could indiCate myasthenia gravis.,I had the weirdest dream.
Spreading too quickly. House writes parasite on the board and crosses it off.,Next?
"Going to a gallery, we're not getting married.","Sure, you say that now. He always marries them in the end!"
I took on three guys in college once.,coming into the lab Hope they bought you dinner first.
"Laughs. Right, fat joke, always fun. Only people you can still make fun of.",And Christians.
EKG was normal.,"But Chase, a doctor who actually takes the time to read the lab reports, has a point. The guy's potassium is off. Could be thyrotoxic paralysis. Start him on!"
"nervously If Rachel wakes up, she's gonna tell Cuddy Everything.",She's two!
How Many times has it worked?,I don't quite see how that's relevant. His pager goes off. He checks it. Cheese it. It's the coppers.
"I don't mind taking care of him, so he can play the piano.","No, you're actually lucky. You don't have to watch your kid grow up, you don't have to let go."
Would've shown up on an EEG.,"Not if the seizures are in a place you can't see on an EEG, a place too deep in the brain, like the area that controls the muscles supporting the!"
"No TV, but we've got Patients.",Can't you give out the aspirin yourself? I'll do paperwork.
You didn't answer the team's question.,"Which is weird, because normally, when I talk to my own employees, I'm under oath and hooked up to a lie detector."
Nothing. She's still pissed at you.,Pass the bacon.
35-year-old male crushing headache and three seizures in the last two days.,"So it's a bleed, clot, tumor, metabolic, or infection. Stick him in a CT."
"House, listen. I know you're worried about me, and I also know that that kind of unselfishness doesn't come naturally to you. But I don't want your help. I don't need your help. Just come to dinner and be your usual selfish self.",How could I say no? He smiles and heads for the exit
IV alcohol can cause pancreatitis. Okay.,You're not gonna argue with me?
"to Foreman and Thirteen You two, stick her in an MRI. Confirm MS. to Taub And you, run the echo on Eddie that you're planning to do behind my back to see if his heart's improving.",Did you let me hire a pervert?
No. No! Stop. trying to explain I'm still healthy. Why not go the extreme route now when there's a better chance of surviving it?,"Statistically, this treatment has about the same chance of killing you as the thymoma does. But a hell of a lot faster."
Negative for sarcoidosis.,"Run him for Everything you can think of. Lepto, sParksto, hemo, and the fourth Marx brother nobody Ever heard of."
"And while they were closing him up, Patrick had a grand mal seizure... which makes no sense, since he's on an anti-convulsive medication.",accusingly You told him.
"Once he gets worse, do a PET scan.",removing the glasses PET scan done?
"No, all you've done is pull pranks or have temper tantrums with Wilson, nEver me, marry mail-order prostitutes, make me go to your wedding",Dominika is a licensed aesthetician.
Why did you...? Holding the bottle of water.,Why does a dog lick its He takes the water from her hand and starts to drink it. Yes he's just drinking her water. workplace acceptable euphemism for testicles?
"voice rising How can you Even support your family? What happens when those kids grow out of their clothes, when they get sick?",Still no spasm.
"I always thought... If I did the right thing, if I treated people right, then good things would happen to me. You think that's how it works?",I didn't use to. Then recently I tried... Now I don't know.
They're not in this room.,loudly No!
"If you're done mocking him, we need to prep for an LP.",Good. Another hole in him should really make God's day.
It's too soon to tell if the meds are gonna,"It's not the meds. It's the blood that's killing her. What's Everybody doing? You're stunned, right? I mean, blood?"
"Man, you are drunk.","Yes, I am. I also saved your life. And, a shot for House! Laughing At least for now."
I know those places.,"They're good, huh?"
"No one's making you do this, House, just do what Everybody else does, lie to them.",You lie to your mother?
There's nothing in our office that would be less than!,I don't mean us. I mean the whole hospital.
Talk to her. The truth?,Sounds crazy when you put it like that.
But I'm sure they're part of the rose family. smiles,"Actually, I'm surprised there are sEven of you. to Cole You punch your boss and stick around?"
"cell to his ear, irritated Tritter froze my account. They're checking theirs. I'm on hold with the Lawyer.",Call Wilson's Lawyer. He'll tell you exactly how and why you're screwed. This kid has no history of allergies.
"If you know the answer, can you tell us the answer?",I don't know the answer. Which brings us back to or?
Come on Chase don't turn into a good guy on me now.,You're late! and hung over. Looks carefully at Cameron. Or maybe not.
I know it's hypocritical but--,"Not at all, the world sees your legs, no one's checking out your lungs. He goes and checks out Caren's handbag."
So I'm going to get fired before her.,"Yes, you're going to get fired right now unless you get in there... 13 walks out."
long pause Once. to Franni Three weeks ago. Our anniversary. I missed the dinner to be at that rally. You planned it for months. You were mad. Really mad. I bought you flowers. I brought them home. You were gone. So was your suitcase. I tossed them and bought you the earrings.,"Roses? Doug nods. Yes. You have sporotrichosis. It's an infection from the thorn of the rose which, by any other name, is still a cheap marital aid."
genuinely surprised Are you asking my opinion?,"If you have any absolute truths, that would be Even better."
You're not off the case.,You don't think you can convince her
"I have a leak in my bathroom, and my guy won't come take a look at it till tomorrow morning, and an emergency plumber's 200 bucks an hour. Dr. House.",Dr. Riggin. Figures you'd be wrapping up the trial by now. I just wanted to give you a hearty mazel tov.
Rape could mean STD.,Thank goodness one of you doesn't have a heart.
With a Patient.,Urgent doctor stuff. He leaves.
"If we don't give him a new kidney, he's dead in a week. We have to transplant.","When your remote has a dead battery, you don't replace it with another dead battery. WhatEver's killing the dad's kidneys is gonna kill the kid's too."
interrupting Does this look like a good time?,Sort of. At least as good as the other 12 times that I've called and paged you in the last three weeks.
Are you asking if I want to die?,"Nobody wants to die. But you're going to. The question is how, how much you're gonna suffer and how long. I'm asking if you want this to be over."
Dad? What's going on?,"walking around behind Artie so that he is now facing his son Gee, this is bad, because you now have to choose between her living and the truth becoming public."
"No, why are you interrupted",Does your penis hurt?
"Under New Jersey law, you're the boss.","Your daughter has TTP. Don't worry, it's curable, she'll be fine."
enters I hear you got another satisfied customer.,One more and I get a set of steak knives.
"No, actually, that price includes footage of the boxing match from four different angles. 30% of the crowd paid by credit card. I got their names. Four of them had digital cameras, which I composited like NASA did for the pics of Mars. You know, the rovers and all that.",Pupils were dilated.
"sarcastic Wow, doesn't she sound messed up.",I don't beliEve I can fix Everything. I don't lie awake at night tormented by that fact.
You're a doctor?,Own my own stethoscope. Did I ask you how old she was? I forget.
"It's a conference room, with glass walls. You thought I'd be alone?",Your Patient has cancer.
coughing Please...my husband's gift. I was supposed to pick it up at the framers. It's on Elm.,"Well, you should have told me earlier. I could have picked it up on the way. What's your name?"
All the tests,Have been negative.
I'm not letting you DNA test my kids.,Already did.
Why not? Considering her current mental state.,What about her mental state?
Leave me alone. Occupied.,Her hernia can wait. he is pulling on gown as he talks. No mask.
Right. She gets up to leave.,Are you serious?
Give him something!,No pain killers!
You baited him.,"You're right. I was asking for it. The low-cut blouse, the Do-Me pumps."
She's a waitress. They're no strangers to botulism or alcoholism. We should search the diner and where she lives.,Or you could search her brain.
You need time to think of some more?,Either arraign me or let me go.
Dinner at L'auberge.,Stares at her. You're lying.
You have the file memorised?,It's my lucky number.
I didn't want her to freeze.,"So you titrated the blanket. As her fEver dropped, you lowered the power."
You hired me to get into my pants?!,I can't beliEve that that would shock you.
One of those drugs is helping him.,"And the rest? Steroids, antibiotics, anti-inflammatories, they're toxic if we leave him on all of them."
PRobably because I didn't want to talk to anyone. You can leave your stolen key on your way out.,"I was looking for Foreman. I figured... He pauses, noticing that she is not looking at him You can't see. Where is he?"
deadpan Sure. Anything I can do to help your game.,"after a few seconds He's not gonna run the tests, is he?"
"Uh, I don't Even know what that means.","Well figure it out, find it out, and then find me, I'll be at lunch."
"Doctor House, Doesn't matter, blood and c-sub smears show no sign of parasites. What do you think?",Has to be a tumor then.
Every morning I have to check my eyes to make sure I didn't scratch a cornea in my sleep.,"Oh God, stop. I'm in a pool of tears here."
Not unless social workers have begun pulling in the big money recently.,holding out his hand Gimme...
vo I don't know how I got here. I saw a symptom before the crash.,Why was I taking the bus?
Could be DIC.,Cuddy. Sorry. Wrong number. hangs up
"Yeah! We should be, except the CDC has got the cop's body under",There's got to be other bodies.
"Slow down. House moves the laptop slower, Cate notices his bookshelf. Lots of books. I'm betting all medical.",Points it back towards himself. Only if you count Jenna Jameson's autobiography as a gynaecological text.
Can we get out now?,I was so waiting for you to say that.
Cameron loves you. Chase loves his job.,Is about to enter an exam room in the clinic. You really think Stacy hates me that much?
Removes excess iron from the liver.,How?
"The white count is still the same, but the red count's fallen to 29 percent.",What was my theory yesterday?
correcting I started seeing her four months ago.,shakes his head She told Kutner it was four weeks.
Which means it's not scleroderma.,"I have an interview, in two hours."
Sounded a lot like! Thirteen.,"It's a Thirteen tribute band with their new song, I've got a better theory than Masters."
"Of a dining table? You know, they don't actually come to life when you put a knob off your bedpost on them.","You are what you sit in. Your friends, your job, your furnishings it all defines you."
"Honey, I'm home.",Just in time. Pot roast is ready.
Except he isn't near death. He's saying Kill me and cut out my heart. Are you out of your mind?,Fine. I'll think of something else.
There are treatments. We can give you cidofovir.,I don't think you care about the drugs names.
loud How can you focus on him?,mock crying S the only way I can cope. normal voice PET also showed the left brain is working hard...
"So, the family history thing!",Every family has some history of heart disease.
"Really? See, I thought you were the one trying to ram her into a drug trial five minutes after surgery","She knows the risks, she was fully informed"
What happened with all the cheese?,I had to get rid of it before Steve McQueen ate any coumadin.
Taub was right about the liver failure.,Yeah.
Shh. I'm with a Patient.,Sleep study.
How do we know she's actually sick?,Her being sick is a clue.
smiling It's gonna be great.,almost inaudible Yeah.
pulls back the scrip You can't lift your arm?,state-the-obvious contest You can't pee standing up. Gimme.
You're asking me to perjure myself.,"It's a tiny, white lie."
simultaneously acting disgusted No.,to Foreman Double negative. It's a yes.
"Mm-hmm. Well, you don't think it could have anything to do with that, do you?",PRobably. How often do you use your vibrator?
Her heart's beating.,"So what does cause synaesthesia, high red blood cell count and heart attack?"
I hate rehearsal dinners almost as much as I hate weddings.,The only reason anyone gets married is that homo erectus females needed protection from predators while breastfeeding.
"House, we need to talk to you.",How the hell did you know I was awake?
"When his wife's not in the room. Foreman and Chase suddenly realize what Cameron says is true. The more devoted, the more reason to lie.",That's cynical!
It's brown. I cauterized it.,"Sweep back, show me the whole stomach. Chase sweeps the camera back. Stop."
"So the fact that he doesn't have MS is, it's really not good news after all?","Well, it is if it's neurosyphilis, the likelihood of a false negative on an RPR test, 30%, the likelihood of a 16 year old having sex, roughly 120%."
"Dad vomited this morning, maybe they've both got strep.",Think you can do a strep throat culture without the swab ending up in the guy's poop chute?
We're not leaving until he's gone or you show me one good reason for keeping him.,"He's really out of it, huh?"
"Okay, so it's infection, lupus, drugs, or cancer. Cancer?",Why not? Great meeting. He starts to leave.
Click Osteo-,Young Man?
"Well then, by all means, flood your body with possibly lethal blood.","I usually like to give the lethal blood to Foreman, but I'm the only one who's type AB."
"Here! this is going to hurt Even more. She gives him a paper cup with pills in it. Take two now, two later.","He empties the cup into his mouth. Oops. She scrubs the bruise. Ho! Of course, if the varicella was resistant, it wouldn't matter what they did up in Middletown."
I guess that's good.,You guess?
"He gets one of his million-yard stares, those where he figures what's the deal with his Patient, typical when he's with Wilson What?",It was a con.
"Great, then she wouldn't have slept for two weeks. Maybe she should be thinking about a different specialty. Lab work, research? Chase walks up.","Yeah, what is it?"
Tell me what she has.,A cold.
None of them are sick either.,Which guys visited her?
We knew if it was myelitis there had to be an itis. This must be the infection that set it off.,"Yeah, except in this universe, effect follows cause. I've complained about it, but--"
"Welcome to a world without nurses. Hands House some files. Here, you can start with these.","Doesn't take them. It's not my fault, I don't use nurses."
You can't just give up on Wilson. You know he needs you. You know he's making an impossible choice. He just doesn't want to live in pain.,shouting Life is pain!
looks at his watch I'm gonna wait. For what?,"Okay, it's 300, I'm off."
"Obviously, obviously you had a plan. The more interesting question is why you didn't tell the team. I think it's because part of you knew from the start that the plan wouldn't work.",I need a meeting.
One time. House throws the magazine in the trash and walks out.,PTSD. Get her a psych referral and pack her bags. He did her.
"Hey! I'm a Man. I don't have time for laundry, I'm saving lives here. No, she doesn't wash them either.","So your skin absorbs a little dye, the odd chemical here and there!"
Tilt-table test. NEver works.,Bet you a week's clinic duty it does.
He's due in radiation.,It's too late. He's dying.
"Who's here? looks The one you're pretending is your father? Nice pick. He looks like Sean Connery. So back when you were devising this fantasy, did you tell your father Dad, I refuse to recognize your existence because I have chosen James Bond as my dad?",I used different words.
Could--could I die on the table?,Could you die if you tell him the truth?
"turns microphone back on Keep your head still, use your fingers. disbelieving Wha...?!","calm Cool, huh? His heart rate rose."
How about this one? He's not our Patient.,"Nope, not good enough."
"If there's a pRoblem with Sophia or any other Patient, you know I'll be there. The Patient is my priority.","definitively and dismissisvely No. Foreman does not move Oh, do you want a reason? Clinical trials take time. Your time is my time. Foreman walks out"
into phone Recommended dose is twenty-five milligrams per meter squared. They do a background check on you?,to Terzi Twenty-five milligrams?
"If we don't stop the nerve deterioration quickly, he'll be paralyzed for life.","Well, luckily, at this rate, that should only last about a week. Okay, so"
No. We can't cut the brain stem.,This thing's moving too quickly.
You know why I give money to this hospital? It's the only way to get attention. You see this? He holds up his wrist.,"Is this a magic trick? Because I am a total David Copperfield fan, although that Tornado of Fire, that seemed a little fake"
Necrosis can theoretically take as long as two weeks. Smirk.,"Whoa, whoa, whoa!"
Spelling test you failed or forgot to...? coolly No.,Math test?
I promise not to give him a raise or a promotion of any kind.,There's got to be a joke there about keeping up with inflation.
Or genital. Go find them.,"Whoa, whoa Foreman! Chase can handle the pelvic."
The guy walked in with his bride. It took me a while to rotate my dish. It's unbelievable what he's doing to her.,You don't think he loves her?
You refilled it at the water cooler. Yes.,How often do you do that?
What's going on with Cameron?,She doesn't want back on my team and she doesn't want to jump me.
"That you suspect an affair? Sure. She already hates you, why not?",Because you think that getting it off your chest will let you sleep better. It won't. You'll end up sleeping on my lumpy couch.
I assume you haven't apologized to Cuddy yet. Your stupidity deMands equal time.,Nothing to apologize for.
Not going to make some joke about Mark being in therapy?,What's there to say? It's only the responsible thing. I'm sure he's got a lot to deal with
"You're wrong, he's!","Relax, there's no cure. He's going to go right on tasting lemon meringue pie, fainting, and being a sap."
We had to sedate her.,You gave sedatives to a Patient who's already sleeping 18 hours a day?
Thank you for ruining my clinical trials. Pharmaceutical company is shutting me down.,"You're kidding, really?"
Maybe he's not huMan.,"An anatomical defect would seem more likely, but let's not rule that one out."
"It's not just a trip to Stockholm, you know. It comes with a cash prize.","Seriously? No wonder Everyone's going after that peace thing. The elevator dings, and they walkout into the hospital lobby."
The clinic's closed at night,"Yeah but I'm sure there's plenty of things to be done, there's charts to be reviewed, supplies inventoried--"
"turning on her There is no productive. It's too late. Because of your inexperience, your poor Judgement. And your failure to recognize a reckless fool!",Cordyceps sinensis.
Maybe. But at least they're not talking to me about it.,slight nod Fair enough.
"Blood proteins are normal, it's not---",Where's Cameron?
"Wendy Jacobson. 33, Brown grad, family therapist.",Nice choice. Since you got two families to therapize.
Stop! I'm withholding your salary history from Every hospital in the tri-state area.,"You go, girl."
There is a bubble in his lung. We should do a Swan-Ganz catheterisation.,"I love when you do both sides of the conversation. It's like white noise, it's very peaceful."
Thought you might prefer people over pills.,"Hey mom, I guess you guys are already up at Aunt Sarah's."
"Yes. It caused muscle cell death. When those cells die, they release cytokines and potassium --","If you restore the blood flow instead of just lopping it all off, then all that crap gets washed back into my system."
"House, it's not Still's. Steroids helped until the Patient started bleeding from the ears and mouth.",looks at Cuddy then back at the little girl It's a bear.
"This isn't 1940, the pRoblem can be controlled with antidepressants.",Cameron. House goes to the fridge
Your car? VO No.,A friend's House?
"She said she's done. I spent half an hour trying to change her mind, but she'd made her decision. I accepted that. It's called respect.",And what's after respect?
Area's too fuzzy. Hallucination isn't strong enough.,"Well, turn up the juice."
"to Rachel Sounds to me like someone's going to get some yummy chocolate. he imitates a chewing motion with his hand, and Rachel does the same.",looks at Wilson and takes the ultrasound wand back from him You're gonna make a great mommy one day.
Only if you count the tumour. House!,PRobably in your abdomen.
It's always the Dad and I don't have a curfew.,Loudly. Panty hamster get a spin on its wheel?
No abnormal T cells or B cells. It's definitely not lymphoma. Liver biopsy only rEvealed nonspecific inflammation.,hanging up his coat and taking the drink from Marcus Kind of like the time you took your mom's birth control pills on a dare and ended up with swollen
"Of course, you're type AB. Universal recipient, you take from Everybody.","Of course, you're type O. Universal donor. No wonder you're paying three alimonies."
"Yeah, I think so.",Puts the magazine down. Talk to Cuddy?
without hesitation No. I did a needle aspiration to confirm whether...,How long till the cultures...?
Thought I was supposed to be the dark one. Not today.,into the phone Yeah.
This is not a new symptom. Our Patient has Spinal Muscular Atrophy. He has documented trouble swallowing. The choking is not new.,"So if it's nothing new, what caused the old?"
Getting annoyed Meaning takes time. It takes work.,What do you think I've been doing?
"Doctor House, Usually it means, whoEver drew the blood didn't do it right. What do you think?","Oh, that's right cause! you drew the blood. But you were precise, because you knew the tube was purely for the PT study."
She's not poisoning him!,It's the only explanation!
Maybe the reason I don't always open up to you is because it's redundant.,Daniel Wilson.
"Hey, someone's gotta pay for this.",Hi.
